phone,usage_this_month,usage_last_month
012-2426-2240,20839.44,9122.23
012-2426-2241,1355.02,6110.31
012-2426-2242,24329.14,16957.49
012-2426-2243,1953.48,4970.21
012-2426-2244,18956.42,3488.27
012-2426-2245,10320.83,5208.62
012-2426-2246,3846.17,4498.96
012-2426-2247,18248.93,21029.05
012-2426-2248,14095.54,15156.59
012-2426-2249,8731.1,9875.08
012-2426-2250,2681.23,1002.68
012-2426-2251,6143.21,2299.13
012-2426-2252,7519.2,16113.14
012-2426-2253,761.25,2286.91
012-2426-2254,7342.54,11776.15
012-2426-2255,12995.07,4970.07
012-2426-2256,5195.15,7292.81
012-2426-2257,5964.65,6120.38
012-2426-2258,7434.71,12519.33
012-2426-2259,13181.99,11448.5
012-2426-2260,19891.99,13457.77
012-2426-2261,18346.26,13217.58
012-2426-2262,14688.04,18591.49
012-2426-2263,20388.69,26318.46
012-2426-2264,19226.34,6763.87
012-2426-2265,12299.7,13499.05
012-2426-2266,0,3474.28
012-2426-2267,19482.29,11904.53
012-2426-2268,28509.35,9765.54
012-2426-2269,10994.76,6721.5
012-2426-2270,14487.78,11237.77
012-2426-2271,13150.16,11893.49
012-2426-2272,5411.02,15647.2
012-2426-2273,10753.29,16370.85
012-2426-2274,0,0
012-2426-2275,17591.7,15174.7
012-2426-2276,14287.4,14103.99
012-2426-2277,8350.08,9593.09
012-2426-2278,15565.8,18590.37
012-2426-2279,24334.87,13118.49
012-2426-2280,13681.32,7440.49
012-2426-2281,8605.65,12091.03
012-2426-2282,5503.17,9485.04
012-2426-2283,10990.17,8518.09
012-2426-2284,6484.18,7304.41
012-2426-2285,6569.76,8056.03
012-2426-2286,4478.98,3476.14
012-2426-2287,1355.43,2899.74
012-2426-2288,10176.92,6191.65
012-2426-2289,8181.26,10651.29
012-2426-2290,9917.6,9913.04
012-2426-2291,6951.4,12743.62
012-2426-2292,8992.27,9378.29
012-2426-2293,2573.54,5658.01
012-2426-2294,5306.56,6784.09
012-2426-2295,8852.61,4831.19
012-2426-2296,5303.85,10374.19
012-2426-2297,14440.46,8873.82
012-2426-2298,15102.01,17140.05
012-2426-2299,6581.55,8849.39
012-2426-2300,0,5206.56
012-2426-2301,7524.72,9536.3
012-2426-2302,5893.2,9691.25
012-2426-2303,6907.12,16462.38
012-2426-2304,6982.24,10731.62
012-2426-2305,9366.16,12406.59
012-2426-2306,9822.42,324.43
012-2426-2307,13040.9,12419.81
012-2426-2308,2662.9,14975.94
012-2426-2309,682.57,458.87
012-2426-2310,2405.14,1166.52
012-2426-2311,8780.07,11592.67
012-2426-2312,10651.65,11862.09
012-2426-2313,6745.59,6777.88
012-2426-2314,13902.18,10837.05
012-2426-2315,1089.32,1910
012-2426-2316,5550.53,10409.08
012-2426-2317,2743.65,629.33
012-2426-2318,8105.01,32.76
012-2426-2319,11666.31,14972.17
012-2426-2320,4867.06,8054.11
012-2426-2321,3780.67,3712.63
012-2426-2322,12244.25,10534.68
012-2426-2323,11655.25,12996.06
012-2426-2324,5972.5,8412.69
012-2426-2325,8800.86,8400.16
012-2426-2326,7962.01,6371.2
012-2426-2327,4356.56,7347.37
012-2426-2328,4677.26,7012.04
012-2426-2329,0,0
012-2426-2330,10021.21,6882.44
012-2426-2331,7566.06,10029.14
012-2426-2332,10816.46,2911.39
012-2426-2333,5199.67,11643.7
012-2426-2334,3780.81,8634.81
012-2426-2335,4751.7,7228.89
012-2426-2336,2297.52,3042.02
012-2426-2337,7006.16,12315.09
012-2426-2338,6990.39,8819.78
012-2426-2339,3590.1,8543.97
012-2426-2340,7868.65,14587.81
012-2426-2341,6820.61,8523.04
012-2426-2342,7275.98,2263.12
012-2426-2343,6442.43,8038.16
012-2426-2344,6405.57,9180.67
012-2426-2345,6088.78,10415.39
012-2426-2346,11026.65,15661.04
012-2426-2347,15951.67,21751.57
012-2426-2348,6753.34,7536.75
012-2426-2349,0,0
012-2426-2350,19635.12,12919.8
012-2426-2351,12077.64,7521.2
012-2426-2352,23232.77,15617.03
012-2426-2353,0,0
012-2426-2354,11859.25,10081.31
012-2426-2355,18891.43,18354.55
012-2426-2356,3381.18,7489.42
012-2426-2357,7492.01,6561.02
012-2426-2358,6482.13,2875.31
012-2426-2359,30270.88,20935.5
012-2426-2360,25102.03,14125.98
012-2426-2361,13046.35,9720.07
012-2426-2362,23622.16,13202.81
012-2426-2363,24450.6,12227.53
012-2426-2364,19051.3,11043.34
012-2426-2365,14401.52,10863.18
012-2426-2366,0,0
012-2426-2367,12351,13811.07
012-2426-2368,9513.47,8079.41
012-2426-2369,15546.47,3115.8
012-2426-2370,2218.21,2218.04
012-2426-2371,9419.36,12003.5
012-2426-2372,7653.63,9425.04
012-2426-2373,13558.57,6043.73
012-2426-2374,5768.43,10723.89
012-2426-2375,14951.75,8339.22
012-2426-2376,8593.35,11438.93
012-2426-2377,6485.42,10553.06
012-2426-2378,23643.91,10657.3
012-2426-2379,0,15175.78
012-2426-2380,9177.65,9311.31
012-2426-2381,9932.55,11676.56
012-2426-2382,5554.28,7261.34
012-2426-2383,14224.49,17479.94
012-2426-2384,7441.96,8689.75
012-2426-2385,0,8.85
012-2426-2386,6308.85,12216.93
012-2426-2387,23321.02,8787.78
012-2426-2388,8367.4,11458.98
012-2426-2389,25065.16,9951.2
012-2426-2390,12890.52,6363.68
012-2426-2391,20850.86,14660.38
012-2426-2392,21317.75,12704.99
012-2426-2393,11974.31,7053.1
012-2426-2394,16922.35,11436.71
012-2426-2395,38657.61,12692.97
012-2426-2396,8738.3,12187.63
012-2426-2397,0,0
012-2426-2398,10037.17,7856.03
012-2426-2399,7620.44,10972.23
012-2426-2400,9211.33,9071.53
012-2426-2401,7959.39,9086.17
012-2426-2402,12079.68,14635.99
012-2426-2403,8177.89,9873.24
012-2426-2404,3607.81,6115.82
012-2426-2405,10764.07,11148.54
012-2426-2406,6327.76,9869.41
012-2426-2407,5342.55,9128.56
012-2426-2408,4336.16,7487.75
012-2426-2409,8837.34,7247.11
012-2426-2410,12958.12,7464.16
012-2426-2411,6265.66,7199.71
012-2426-2412,7879.23,9419.87
012-2426-2413,8125.63,9847.88
012-2426-2414,8311.32,15368.63
012-2426-2415,7222.66,15888.28
012-2426-2416,8191.68,12466.92
012-2426-2417,5007.29,6819.17
012-2426-2418,16702.05,9401.33
012-2426-2419,10546.38,10513.77
012-2426-2420,5641.82,7865.86
012-2426-2421,1676.6,3604.13
012-2426-2422,9104.88,9415.61
012-2426-2423,11858.59,13221.12
012-2426-2424,10286.91,10646.09
012-2426-2425,5725.51,5927.21
012-2426-2426,6912.48,9878.84
012-2426-2427,5928.71,8185.64
012-2426-2428,1633.37,2164.56
012-2426-2429,7336.79,10882.35
012-2426-2430,14386.37,11533.01
012-2426-2431,7660.89,12651.14
012-2426-2432,6911.98,10824.27
012-2426-2433,39.02,4.16
012-2426-2434,6073.81,7785.3
012-2426-2435,2812.65,3958.45
012-2426-2436,9468.17,11397.02
012-2426-2437,3864.83,8446.37
012-2426-2438,12978.83,9380.42
012-2426-2439,9287.54,4696.94
012-2426-2440,3299.01,5019.23
012-2426-2441,9672.33,14268.59
012-2426-2442,6706.25,12550.54
012-2426-2443,11381.16,13726.97
012-2426-2444,11176.96,7967.86
012-2426-2445,2426.16,8796.38
012-2426-2446,13455.2,9959.51
012-2426-2447,0,9109.69
012-2426-2448,0,9068.23
012-2426-2449,0,4923.46
012-2426-2450,0,4266.11
012-2426-2451,0,5072.79
012-2426-2452,8031.35,7162.27
012-2426-2453,14331.12,14622.89
012-2426-2454,9224.35,7279.83
012-2426-2455,3338.45,4076.91
012-2426-2456,8326.27,10741.46
012-2426-2457,7649.87,12586.26
012-2426-2458,2031.73,7811.77
012-2426-2459,5398.88,8284.34
012-2426-2460,14225.23,16114.29
012-2426-2461,2289.87,4776.22
012-2426-2462,2305.09,10448.79
012-2426-2463,7828.06,7805.98
012-2426-2464,2940.87,2074.43
012-2426-2465,5959.82,6925.83
012-2426-2466,1288.42,891.39
012-2426-2467,11303.64,12013.28
012-2426-2468,8437.04,9084.23
012-2426-2469,1180.89,2448.71
012-2426-2470,5076.39,8012.15
012-2426-2471,4909.26,8177.7
012-2426-2472,7726.25,2071.38
012-2426-2473,8613.24,7516.14
012-2426-2474,6010.24,8422.08
012-2426-2475,0,5127.07
012-2426-2476,0,9400.11
012-2426-2477,0,5516.97
012-2426-2478,0,10059.28
012-2426-2479,0,7809.63
012-2426-2480,5736.51,9347.16
012-2426-2481,3454.74,5433.39
012-2426-2482,9077.85,11435.46
012-2426-2483,0,8675.9
012-2426-2484,0,9105.12
012-2426-2485,5045.18,5389.99
012-2426-2486,7149.36,10537.86
012-2426-2487,5069.84,8732.44
012-2426-2488,1778.54,10860.44
012-2426-2489,6917.72,12702.3
012-2426-2490,8893.74,10694.97
012-2426-2491,10186.37,11892.76
012-2426-2492,10105.56,9825.41
012-2426-2493,8630.96,8760.12
012-2426-2494,5400.26,5166.25
012-2426-2495,8508.01,12885.03
012-2426-2496,4338.55,7094.16
012-2426-2497,13966.76,11841.57
012-2426-2498,5239.31,8245.9
012-2426-2499,11706.29,11115.59
012-2426-2500,8456.95,8490.65
012-2426-2501,0,0
012-2426-2502,9156.56,13308.95
012-2426-2503,3732.01,10439.1
012-2426-2504,9837.8,10545.22
012-2426-2505,8564.28,22405.4
012-2426-2506,5927.52,8658.66
012-2426-2507,9653.28,11977.85
012-2426-2508,10973.48,10347.93
012-2426-2509,7883.04,9520.71
012-2426-2510,9582.51,15161.33
012-2426-2511,13384.31,11537.98
012-2426-2512,11213.32,11274.16
012-2426-2513,13749.41,15423.62
012-2426-2514,9584.89,2194.32
012-2426-2515,11466.14,2964.37
012-2426-2516,4380.01,10619.91
012-2426-2517,2808.15,4963.2
012-2426-2518,10875.99,11247.58
012-2426-2519,4910.63,8352.01
012-2426-2520,4851.47,6586.23
012-2426-2521,6402.57,10954.77
012-2426-2522,16752.43,14720.16
012-2426-2523,9092.15,9991.82
012-2426-2524,8066.84,5323.65
012-2426-2525,4935.01,7691.33
012-2426-2526,9666.13,7138.27
012-2426-2527,4527.64,6858.89
012-2426-2528,11200.79,7087.21
012-2426-2529,12829.56,12248.65
012-2426-2530,6376.04,5759.88
012-2426-2531,10490.93,12520.55
012-2426-2532,9148.79,15685.64
012-2426-2533,13048.64,9377.23
012-2426-2534,6051.13,8520.91
012-2426-2535,9123.39,10001.8
012-2426-2536,3406.83,5750.14
012-2426-2537,8840.01,14316.73
012-2426-2538,8691.31,7921.2
012-2426-2539,11455.49,11338.58
012-2426-2540,7652.97,5975.48
012-2426-2541,6499.12,4201.56
012-2426-2542,10162.63,10604.55
012-2426-2543,11124.01,11034.27
012-2426-2544,1847.16,5003.65
012-2426-2545,12127.03,13530.36
012-2426-2546,7120.1,8041.41
012-2426-2547,7014.27,7772.52
012-2426-2548,6206.5,11961.22
012-2426-2549,9865.17,10173.81
012-2426-2550,11530.04,10827.28
012-2426-2551,9026.22,10110.72
012-2426-2552,4143.1,10187.36
012-2426-2553,6933.04,8856.78
012-2426-2554,4108.02,7629.14
012-2426-2555,0,0
012-2426-2556,10309.15,3393.7
012-2426-2557,5580.06,2431.24
012-2426-2558,8239.39,14278.6
012-2426-2559,0,0
012-2426-2560,913.9,2633.27
012-2426-2561,7190.33,6370.15
012-2426-2562,8897.11,13183.87
012-2426-2563,6129.77,5458.01
012-2426-2564,10431.1,11272.2
012-2426-2565,8789.45,10836.96
012-2426-2566,7722.88,9683.56
012-2426-2567,484.01,1740.58
012-2426-2568,3811.27,1471.58
012-2426-2569,7903.9,7949.26
012-2426-2570,4358.46,2250.53
012-2426-2571,0,3578.75
012-2426-2572,3597.56,2873.7
012-2426-2573,7829.45,8603.01
012-2426-2574,1133.11,5421.4
012-2426-2575,11290.82,10056.04
012-2426-2576,4936.96,7101.25
012-2426-2577,5723.04,5550.78
012-2426-2578,5857.66,8511.38
012-2426-2579,0,7697.52
012-2426-2580,0,9445.44
012-2426-2581,0,6841.21
012-2426-2582,5274.22,8471.9
012-2426-2583,8955.82,13306.67
012-2426-2584,3668.92,4866.53
012-2426-2585,2224.54,2676.06
012-2426-2586,13642.72,7427.95
012-2426-2587,10464.75,9714.55
012-2426-2588,7852.63,8815.2
012-2426-2589,4074.42,19003.78
012-2426-2590,3584.47,4485.74
012-2426-2591,3740.13,8884.46
012-2426-2592,6894.35,7921.53
012-2426-2593,9788,12684.93
012-2426-2594,9727.37,11055.29
012-2426-2595,22448.85,13944.91
012-2426-2596,4082.17,8421.29
012-2426-2597,15345.94,17237.79
012-2426-2598,8217.81,6877.27
012-2426-2599,15142.39,18105.8
012-2426-2600,6687.8,10423.15
012-2426-2601,6374.74,6561.89
012-2426-2602,5967.52,6945.55
012-2426-2603,0,0
012-2426-2604,0,8839.47
012-2426-2605,0,6905.97
012-2426-2606,97.96,6735.72
012-2426-2607,0,5938.93
012-2426-2608,0,2936.8
012-2426-2609,4464.94,7135.51
012-2426-2610,0,5128.48
012-2426-2611,7020.08,8991.69
012-2426-2612,0,11217.22
012-2426-2613,9907.4,6870.28
012-2426-2614,0,5924.3
012-2426-2615,0,6717.2
012-2426-2616,11910.9,14720.08
012-2426-2617,43.29,701.45
012-2426-2618,9988.69,16983.69
012-2426-2619,8980.83,10040.45
012-2426-2620,12963.01,11351.74
012-2426-2621,3542.68,7340.64
012-2426-2622,8554.75,9952.17
012-2426-2623,8060.81,4444.44
012-2426-2624,8577.42,14411.91
012-2426-2625,0,13646.95
012-2426-2626,19121.73,20054.51
012-2426-2627,0,12744.11
012-2426-2628,0,8034.26
012-2426-2629,0,7652.21
012-2426-2630,0,10990.97
012-2426-2631,0,5851.41
012-2426-2632,0,8147.96
012-2426-2633,0,2632.68
012-2426-2634,3066.94,3584.66
012-2426-2635,5622.03,14560.23
012-2426-2636,5131.36,6348.79
012-2426-2637,11234.77,6442.63
012-2426-2638,6703.73,15621.12
012-2426-2639,6720.47,9512.35
012-2426-2640,14287.09,23779.95
012-2426-2641,5530.8,8282.94
012-2426-2642,20399.18,4695.25
012-2426-2643,5113.55,3468.64
012-2426-2644,12506.86,17210.68
012-2426-2645,0,10824.44
012-2426-2646,0,4355.69
012-2426-2647,0,14984.89
012-2426-2648,0,5936.01
012-2426-2649,7884.35,12654.26
012-2426-2650,0,7992.54
012-2426-2651,0,9961.39
012-2426-2652,0,10232.72
012-2426-2653,9006.65,9409.99
012-2426-2654,0,9812.04
012-2426-2655,0,6905.59
012-2426-2656,3794.89,5970.47
012-2426-2657,0,6726.96
012-2426-2658,7532.36,11515.17
012-2426-2659,34838.3,33563.65
012-2426-2660,22783.53,10707.31
012-2426-2661,0,12259.28
012-2426-2662,26573.19,18514.41
012-2426-2663,0,10690.6
012-2426-2664,0,0
012-2426-2665,4075.89,6822.66
012-2426-2666,10117.96,13007.2
012-2426-2667,12134.83,13770.42
012-2426-2668,7086.76,10737.42
012-2426-2669,7713.4,5978.18
012-2426-2670,27800.84,10821.17
012-2426-2671,3779.45,5042.72
012-2426-2672,9095.57,10787.93
012-2426-2673,11295.68,10488.02
012-2426-2674,4698.26,6053.12
012-2426-2675,8941.39,9156.95
012-2426-2676,8531.36,7577.46
012-2426-2677,29238.98,14059.8
012-2426-2678,4663.71,6190.08
012-2426-2679,9838.24,11010.77
012-2426-2680,7124.57,7916.34
012-2426-2681,17081.18,2129.62
012-2426-2682,6805.55,5736.07
012-2426-2683,6591,10552.74
012-2426-2684,4192.71,4740.3
012-2426-2685,10166.54,9983.32
012-2426-2686,10240.78,8378.83
012-2426-2687,10334.94,9202.67
012-2426-2688,11528.56,6278.68
012-2426-2689,12732.77,7201.1
012-2426-2690,7602.65,6623.94
012-2426-2691,1099.41,2072.78
012-2426-2692,8035.18,7353.97
012-2426-2693,7538.24,12625.66
012-2426-2694,12011.99,14674.7
012-2426-2695,13371.82,11017.3
012-2426-2696,8605.56,7245.4
012-2426-2697,13878.06,10546.27
012-2426-2698,21.19,8924.34
012-2426-2699,0,0
012-2426-2700,11225.3,9323.21
012-2426-2701,0,0
012-2426-2702,13165.3,10514.58
012-2426-2703,1966.97,4528.9
012-2426-2704,8272.38,10785.74
012-2426-2705,9347.06,8008.16
012-2426-2706,5242.94,10298.18
012-2426-2707,12741.64,8906.85
012-2426-2708,11104.33,3228.58
012-2426-2709,5193.91,7281.06
012-2426-2710,5319.27,12200.57
012-2426-2711,10923.88,9485.81
012-2426-2712,8673.05,11454.89
012-2426-2713,3081.16,5105.24
012-2426-2714,4627.61,7210.73
012-2426-2715,5764.33,7682.57
012-2426-2716,8518.26,6825.77
012-2426-2717,16737.61,14532.25
012-2426-2718,6098.89,3502.87
012-2426-2719,5207.46,8327.37
012-2426-2720,17246.22,15611.87
012-2426-2721,0,9877.35
012-2426-2722,0,6202.75
012-2426-2723,17765.11,21149.66
012-2426-2724,5007.92,2954.73
012-2426-2725,0,9659.99
012-2426-2726,4253.7,7884.27
012-2426-2727,10484.56,4926.13
012-2426-2728,9225.05,14962.28
012-2426-2729,7293.62,10636.93
012-2426-2730,8706.72,11250.26
012-2426-2731,9288.57,13305.58
012-2426-2732,5092.31,8400.72
012-2426-2733,12882.95,15192.31
012-2426-2734,10247.06,14683.63
012-2426-2735,4332.75,5949.96
012-2426-2736,10633.66,10559.07
012-2426-2737,9653.19,14700.63
012-2426-2738,312388.34,211913.3
012-2426-2739,7903.06,14937.32
012-2426-2740,8046.61,11354.81
012-2426-2741,12093.28,15456.34
012-2426-2742,0,5.15
012-2426-2743,11082.21,11345.37
012-2426-2744,1914.62,8243.45
012-2426-2745,4565.9,6681.51
012-2426-2746,4518.19,6663.81
012-2426-2747,12479.92,3213.4
012-2426-2748,0,8267.9
012-2426-2749,2169.5,6449.71
012-2426-2750,6093.46,13230.8
012-2426-2751,7491.46,8367.74
012-2426-2752,7491.55,12141.78
012-2426-2753,9076.01,9201.86
012-2426-2754,10116.17,10916.21
012-2426-2755,9310.13,6917.41
012-2426-2756,2082.35,9672.93
012-2426-2757,8921.99,8072.63
012-2426-2758,0,11120.32
012-2426-2759,9537.3,7835.37
012-2426-2760,2712.24,4193.14
012-2426-2761,7586.73,10558.75
012-2426-2762,2740,7249.7
012-2426-2763,3688.92,1382.62
012-2426-2764,6041.65,37180.25
012-2426-2765,3089.24,3057.11
012-2426-2766,5543.8,11098.62
012-2426-2767,6870.87,13743.2
012-2426-2768,5549.77,5735.43
012-2426-2769,2039.91,2741.61
012-2426-2770,6209.5,3319.41
012-2426-2771,8096.28,15770.58
012-2426-2772,0,2325.84
012-2426-2773,0,8295.08
012-2426-2774,0,7323.37
012-2426-2775,0,10208.9
012-2426-2776,2072.3,3748.01
012-2426-2777,10174.27,12654.56
012-2426-2778,0,6709.03
012-2426-2779,0,4902.47
012-2426-2780,6987.2,5614.16
012-2426-2781,0,10944.34
012-2426-2782,9796.79,8541.69
012-2426-2783,6431.08,6449.04
012-2426-2784,0,5233.87
012-2426-2785,5005.32,9151.99
012-2426-2786,607.75,4366
012-2426-2787,0,0
012-2426-2788,8889.12,12688.92
012-2426-2789,2361.6,9738.9
012-2426-2790,6405.59,5480.88
012-2426-2791,8560.13,9043.52
012-2426-2792,10424.49,13736.94
012-2426-2793,1073.9,1655.12
012-2426-2794,10783.15,11712.53
012-2426-2795,0,0
012-2426-2796,11786.57,12778.51
012-2426-2797,5476.67,4344.2
012-2426-2798,10500.29,12100.36
012-2426-2799,3833.94,6603.6
012-2426-2800,6579.96,9056.15
012-2426-2801,6527.61,6052.02
