phone,usage
012-2426-2103,7313.27
012-2426-2104,26630.88
012-2426-2105,13786.64
012-2426-2106,15950.35
012-2426-2107,9116.87
012-2426-2108,7529.79
012-2426-2109,2490.28
012-2426-2110,21768.13
012-2426-2111,3916.84
012-2426-2112,5258.78
012-2426-2113,7073.08
012-2426-2114,17654.59
012-2426-2115,7415.08
012-2426-2116,19474.21
012-2426-2117,7177.14
012-2426-2118,12895.13
012-2426-2119,14210.89
012-2426-2120,0
012-2426-2121,2386.46
012-2426-2122,0
012-2426-2123,7553.52
012-2426-2124,16851
012-2426-2125,0
012-2426-2126,0
012-2426-2127,0
012-2426-2128,0
012-2426-2129,11254.15
012-2426-2130,10281.12
012-2426-2131,0
012-2426-2132,0
012-2426-2133,17244.73
012-2426-2134,8623.59
012-2426-2135,0
012-2426-2136,9415.21
012-2426-2137,5254.69
012-2426-2138,7423.51
012-2426-2139,6372.23
012-2426-2140,10489.86
012-2426-2141,1861.8
012-2426-2142,7865
012-2426-2143,4237.41
012-2426-2144,7286.45
012-2426-2145,1816.27
012-2426-2146,3500.25
012-2426-2147,8018.31
012-2426-2148,4944.99
012-2426-2149,0
012-2426-2150,0
012-2426-2151,0
012-2426-2152,0
012-2426-2153,0
012-2426-2154,0
012-2426-2155,0
012-2426-2156,0
012-2426-2157,0
012-2426-2158,5600.17
012-2426-2159,0
012-2426-2160,8709.49
012-2426-2161,9221.32
012-2426-2162,14856.45
012-2426-2163,16561.27
012-2426-2164,6588.7
012-2426-2165,18560.05
012-2426-2166,22866.65
012-2426-2167,1824.78
012-2426-2168,0.54
012-2426-2169,6721.85
012-2426-2170,5589.12
012-2426-2171,7414.72
012-2426-2172,6645.32
012-2426-2173,27096.09
012-2426-2174,3147.34
012-2426-2175,7133.53
012-2426-2176,18920.79
012-2426-2177,5453.51
012-2426-2178,7226.16
012-2426-2179,15611.89
012-2426-2180,13315.48
012-2426-2181,14937.68
012-2426-2182,643.97
012-2426-2183,16387.19
012-2426-2184,6639.84
012-2426-2185,19427.29
012-2426-2186,5073.26
012-2426-2187,0
012-2426-2188,13834.95
012-2426-2189,12728.28
012-2426-2190,0
012-2426-2191,7985.06
012-2426-2192,1782.04
012-2426-2193,1302.81
012-2426-2194,5618.21
012-2426-2195,2285.4
012-2426-2196,15886.68
012-2426-2197,5099.04
012-2426-2198,5476.42
012-2426-2199,15534.87
012-2426-2200,12281.69
012-2426-2201,12954.81
012-2426-2202,4021.89
012-2426-2203,20069.02
012-2426-2204,10456.02
012-2426-2205,12789.87
012-2426-2206,21195.04
012-2426-2207,5076.92
012-2426-2208,14874.79
012-2426-2209,9983.78
012-2426-2210,7183.12
012-2426-2211,5339.25
012-2426-2212,3423.26
012-2426-2213,15706.23
012-2426-2214,29545.41
012-2426-2215,2253.55
012-2426-2216,12589.52
012-2426-2217,30341.35
012-2426-2218,4619.28
012-2426-2219,13602.93
012-2426-2220,2002.4
012-2426-2221,12474.83
012-2426-2222,12767.72
012-2426-2223,5528.92
012-2426-2224,23989.04
012-2426-2225,26774.71
012-2426-2226,8525.59
012-2426-2227,6779.37
012-2426-2228,17136.93
012-2426-2229,20859.02
012-2426-2230,5662.41
012-2426-2231,6910.47
012-2426-2232,19885.92
012-2426-2233,5726.27
012-2426-2234,216.68
012-2426-2235,20889.69
012-2426-2236,17569.04
012-2426-2237,14600.79
012-2426-2238,1817.54
012-2426-2239,16467.73
012-2426-2240,20839.44
012-2426-2241,1355.02
012-2426-2242,24329.14
012-2426-2243,1953.48
012-2426-2244,18956.42
012-2426-2245,10320.83
012-2426-2246,3846.17
012-2426-2247,18248.93
012-2426-2248,14095.54
012-2426-2249,8731.1
012-2426-2250,2681.23
012-2426-2251,6143.21
012-2426-2252,7519.2
012-2426-2253,761.25
012-2426-2254,7342.54
012-2426-2255,12995.07
012-2426-2256,5195.15
012-2426-2257,5964.65
012-2426-2258,7434.71
012-2426-2259,13181.99
012-2426-2260,19891.99
012-2426-2261,18346.26
012-2426-2262,14688.04
012-2426-2263,20388.69
012-2426-2264,19226.34
012-2426-2265,12299.7
012-2426-2266,0
012-2426-2267,19482.29
012-2426-2268,28509.35
012-2426-2269,10994.76
012-2426-2270,14487.78
012-2426-2271,13150.16
012-2426-2272,5411.02
012-2426-2273,10753.29
012-2426-2274,0
012-2426-2275,17591.7
012-2426-2276,14287.4
012-2426-2277,8350.08
012-2426-2278,15565.8
012-2426-2279,24334.87
012-2426-2280,13681.32
012-2426-2281,8605.65
012-2426-2282,5503.17
012-2426-2283,10990.17
012-2426-2284,6484.18
012-2426-2285,6569.76
012-2426-2286,4478.98
012-2426-2287,1355.43
012-2426-2288,10176.92
012-2426-2289,8181.26
012-2426-2290,9917.6
012-2426-2291,6951.4
012-2426-2292,8992.27
012-2426-2293,2573.54
012-2426-2294,5306.56
012-2426-2295,8852.61
012-2426-2296,5303.85
012-2426-2297,14440.46
012-2426-2298,15102.01
012-2426-2299,6581.55
012-2426-2300,0
012-2426-2301,7524.72
012-2426-2302,5893.2
012-2426-2303,6907.12
012-2426-2304,6982.24
012-2426-2305,9366.16
012-2426-2306,9822.42
012-2426-2307,13040.9
012-2426-2308,2662.9
012-2426-2309,682.57
012-2426-2310,2405.14
012-2426-2311,8780.07
012-2426-2312,10651.65
012-2426-2313,6745.59
012-2426-2314,13902.18
012-2426-2315,1089.32
012-2426-2316,5550.53
012-2426-2317,2743.65
012-2426-2318,8105.01
012-2426-2319,11666.31
012-2426-2320,4867.06
012-2426-2321,3780.67
012-2426-2322,12244.25
012-2426-2323,11655.25
012-2426-2324,5972.5
012-2426-2325,8800.86
012-2426-2326,7962.01
012-2426-2327,4356.56
012-2426-2328,4677.26
012-2426-2329,0
012-2426-2330,10021.21
012-2426-2331,7566.06
012-2426-2332,10816.46
012-2426-2333,5199.67
012-2426-2334,3780.81
012-2426-2335,4751.7
012-2426-2336,2297.52
012-2426-2337,7006.16
012-2426-2338,6990.39
012-2426-2339,3590.1
012-2426-2340,7868.65
012-2426-2341,6820.61
012-2426-2342,7275.98
012-2426-2343,6442.43
012-2426-2344,6405.57
012-2426-2345,6088.78
012-2426-2346,11026.65
012-2426-2347,15951.67
012-2426-2348,6753.34
012-2426-2349,0
012-2426-2350,19635.12
012-2426-2351,12077.64
012-2426-2352,23232.77
012-2426-2353,0
012-2426-2354,11859.25
012-2426-2355,18891.43
012-2426-2356,3381.18
012-2426-2357,7492.01
012-2426-2358,6482.13
012-2426-2359,30270.88
012-2426-2360,25102.03
012-2426-2361,13046.35
012-2426-2362,23622.16
012-2426-2363,24450.6
012-2426-2364,19051.3
012-2426-2365,14401.52
012-2426-2366,0
012-2426-2367,12351
012-2426-2368,9513.47
012-2426-2369,15546.47
012-2426-2370,2218.21
012-2426-2371,9419.36
012-2426-2372,7653.63
012-2426-2373,13558.57
012-2426-2374,5768.43
012-2426-2375,14951.75
012-2426-2376,8593.35
012-2426-2377,6485.42
012-2426-2378,23643.91
012-2426-2379,0
012-2426-2380,9177.65
012-2426-2381,9932.55
012-2426-2382,5554.28
012-2426-2383,14224.49
012-2426-2384,7441.96
012-2426-2385,0
012-2426-2386,6308.85
012-2426-2387,23321.02
012-2426-2388,8367.4
012-2426-2389,25065.16
012-2426-2390,12890.52
012-2426-2391,20850.86
012-2426-2392,21317.75
012-2426-2393,11974.31
012-2426-2394,16922.35
012-2426-2395,38657.61
012-2426-2396,8738.3
012-2426-2397,0
012-2426-2398,10037.17
012-2426-2399,7620.44
012-2426-2400,9211.33
012-2426-2401,7959.39
012-2426-2402,12079.68
012-2426-2403,8177.89
012-2426-2404,3607.81
012-2426-2405,10764.07
012-2426-2406,6327.76
012-2426-2407,5342.55
012-2426-2408,4336.16
012-2426-2409,8837.34
012-2426-2410,12958.12
012-2426-2411,6265.66
012-2426-2412,7879.23
012-2426-2413,8125.63
012-2426-2414,8311.32
012-2426-2415,7222.66
012-2426-2416,8191.68
012-2426-2417,5007.29
012-2426-2418,16702.05
012-2426-2419,10546.38
012-2426-2420,5641.82
012-2426-2421,1676.6
012-2426-2422,9104.88
012-2426-2423,11858.59
012-2426-2424,10286.91
012-2426-2425,5725.51
012-2426-2426,6912.48
012-2426-2427,5928.71
012-2426-2428,1633.37
012-2426-2429,7336.79
012-2426-2430,14386.37
012-2426-2431,7660.89
012-2426-2432,6911.98
012-2426-2433,39.02
012-2426-2434,6073.81
012-2426-2435,2812.65
012-2426-2436,9468.17
012-2426-2437,3864.83
012-2426-2438,12978.83
012-2426-2439,9287.54
012-2426-2440,3299.01
012-2426-2441,9672.33
012-2426-2442,6706.25
012-2426-2443,11381.16
012-2426-2444,11176.96
012-2426-2445,2426.16
012-2426-2446,13455.2
012-2426-2447,0
012-2426-2448,0
012-2426-2449,0
012-2426-2450,0
012-2426-2451,0
012-2426-2452,8031.35
012-2426-2453,14331.12
012-2426-2454,9224.35
012-2426-2455,3338.45
012-2426-2456,8326.27
012-2426-2457,7649.87
012-2426-2458,2031.73
012-2426-2459,5398.88
012-2426-2460,14225.23
012-2426-2461,2289.87
012-2426-2462,2305.09
012-2426-2463,7828.06
012-2426-2464,2940.87
012-2426-2465,5959.82
012-2426-2466,1288.42
012-2426-2467,11303.64
012-2426-2468,8437.04
012-2426-2469,1180.89
012-2426-2470,5076.39
012-2426-2471,4909.26
012-2426-2472,7726.25
012-2426-2473,8613.24
012-2426-2474,6010.24
012-2426-2475,0
012-2426-2476,0
012-2426-2477,0
012-2426-2478,0
012-2426-2479,0
012-2426-2480,5736.51
012-2426-2481,3454.74
012-2426-2482,9077.85
012-2426-2483,0
012-2426-2484,0
012-2426-2485,5045.18
012-2426-2486,7149.36
012-2426-2487,5069.84
012-2426-2488,1778.54
012-2426-2489,6917.72
012-2426-2490,8893.74
012-2426-2491,10186.37
012-2426-2492,10105.56
012-2426-2493,8630.96
012-2426-2494,5400.26
012-2426-2495,8508.01
012-2426-2496,4338.55
012-2426-2497,13966.76
012-2426-2498,5239.31
012-2426-2499,11706.29
012-2426-2500,8456.95
012-2426-2501,0
012-2426-2502,9156.56
012-2426-2503,3732.01
012-2426-2504,9837.8
012-2426-2505,8564.28
012-2426-2506,5927.52
012-2426-2507,9653.28
012-2426-2508,10973.48
012-2426-2509,7883.04
012-2426-2510,9582.51
012-2426-2511,13384.31
012-2426-2512,11213.32
012-2426-2513,13749.41
012-2426-2514,9584.89
012-2426-2515,11466.14
012-2426-2516,4380.01
012-2426-2517,2808.15
012-2426-2518,10875.99
012-2426-2519,4910.63
012-2426-2520,4851.47
012-2426-2521,6402.57
012-2426-2522,16752.43
012-2426-2523,9092.15
012-2426-2524,8066.84
012-2426-2525,4935.01
012-2426-2526,9666.13
012-2426-2527,4527.64
012-2426-2528,11200.79
012-2426-2529,12829.56
012-2426-2530,6376.04
012-2426-2531,10490.93
012-2426-2532,9148.79
012-2426-2533,13048.64
012-2426-2534,6051.13
012-2426-2535,9123.39
012-2426-2536,3406.83
012-2426-2537,8840.01
012-2426-2538,8691.31
012-2426-2539,11455.49
012-2426-2540,7652.97
012-2426-2541,6499.12
012-2426-2542,10162.63
012-2426-2543,11124.01
012-2426-2544,1847.16
012-2426-2545,12127.03
012-2426-2546,7120.1
012-2426-2547,7014.27
012-2426-2548,6206.5
012-2426-2549,9865.17
012-2426-2550,11530.04
012-2426-2551,9026.22
012-2426-2552,4143.1
012-2426-2553,6933.04
012-2426-2554,4108.02
012-2426-2555,0
012-2426-2556,10309.15
012-2426-2557,5580.06
012-2426-2558,8239.39
012-2426-2559,0
012-2426-2560,913.9
012-2426-2561,7190.33
012-2426-2562,8897.11
012-2426-2563,6129.77
012-2426-2564,10431.1
012-2426-2565,8789.45
012-2426-2566,7722.88
012-2426-2567,484.01
012-2426-2568,3811.27
012-2426-2569,7903.9
012-2426-2570,4358.46
012-2426-2571,0
012-2426-2572,3597.56
012-2426-2573,7829.45
012-2426-2574,1133.11
012-2426-2575,11290.82
012-2426-2576,4936.96
012-2426-2577,5723.04
012-2426-2578,5857.66
012-2426-2579,0
012-2426-2580,0
012-2426-2581,0
012-2426-2582,5274.22
012-2426-2583,8955.82
012-2426-2584,3668.92
012-2426-2585,2224.54
012-2426-2586,13642.72
012-2426-2587,10464.75
012-2426-2588,7852.63
012-2426-2589,4074.42
012-2426-2590,3584.47
012-2426-2591,3740.13
012-2426-2592,6894.35
012-2426-2593,9788
012-2426-2594,9727.37
012-2426-2595,22448.85
012-2426-2596,4082.17
012-2426-2597,15345.94
012-2426-2598,8217.81
012-2426-2599,15142.39
012-2426-2600,6687.8
012-2426-2601,6374.74
012-2426-2602,5967.52
012-2426-2603,0
012-2426-2604,0
012-2426-2605,0
012-2426-2606,97.96
012-2426-2607,0
012-2426-2608,0
012-2426-2609,4464.94
012-2426-2610,0
012-2426-2611,7020.08
012-2426-2612,0
012-2426-2613,9907.4
012-2426-2614,0
012-2426-2615,0
012-2426-2616,11910.9
012-2426-2617,43.29
012-2426-2618,9988.69
012-2426-2619,8980.83
012-2426-2620,12963.01
012-2426-2621,3542.68
012-2426-2622,8554.75
012-2426-2623,8060.81
012-2426-2624,8577.42
012-2426-2625,0
012-2426-2626,19121.73
012-2426-2627,0
012-2426-2628,0
012-2426-2629,0
012-2426-2630,0
012-2426-2631,0
012-2426-2632,0
012-2426-2633,0
012-2426-2634,3066.94
012-2426-2635,5622.03
012-2426-2636,5131.36
012-2426-2637,11234.77
012-2426-2638,6703.73
012-2426-2639,6720.47
012-2426-2640,14287.09
012-2426-2641,5530.8
012-2426-2642,20399.18
012-2426-2643,5113.55
012-2426-2644,12506.86
012-2426-2645,0
012-2426-2646,0
012-2426-2647,0
012-2426-2648,0
012-2426-2649,7884.35
012-2426-2650,0
012-2426-2651,0
012-2426-2652,0
012-2426-2653,9006.65
012-2426-2654,0
012-2426-2655,0
012-2426-2656,3794.89
012-2426-2657,0
012-2426-2658,7532.36
012-2426-2659,34838.3
012-2426-2660,22783.53
012-2426-2661,0
012-2426-2662,26573.19
012-2426-2663,0
012-2426-2664,0
012-2426-2665,4075.89
012-2426-2666,10117.96
012-2426-2667,12134.83
012-2426-2668,7086.76
012-2426-2669,7713.4
012-2426-2670,27800.84
012-2426-2671,3779.45
012-2426-2672,9095.57
012-2426-2673,11295.68
012-2426-2674,4698.26
012-2426-2675,8941.39
012-2426-2676,8531.36
012-2426-2677,29238.98
012-2426-2678,4663.71
012-2426-2679,9838.24
012-2426-2680,7124.57
012-2426-2681,17081.18
012-2426-2682,6805.55
012-2426-2683,6591
012-2426-2684,4192.71
012-2426-2685,10166.54
012-2426-2686,10240.78
012-2426-2687,10334.94
012-2426-2688,11528.56
012-2426-2689,12732.77
012-2426-2690,7602.65
012-2426-2691,1099.41
012-2426-2692,8035.18
012-2426-2693,7538.24
012-2426-2694,12011.99
012-2426-2695,13371.82
012-2426-2696,8605.56
012-2426-2697,13878.06
012-2426-2698,21.19
012-2426-2699,0
012-2426-2700,11225.3
012-2426-2701,0
012-2426-2702,13165.3
012-2426-2703,1966.97
012-2426-2704,8272.38
012-2426-2705,9347.06
012-2426-2706,5242.94
012-2426-2707,12741.64
012-2426-2708,11104.33
012-2426-2709,5193.91
012-2426-2710,5319.27
012-2426-2711,10923.88
012-2426-2712,8673.05
012-2426-2713,3081.16
012-2426-2714,4627.61
012-2426-2715,5764.33
012-2426-2716,8518.26
012-2426-2717,16737.61
012-2426-2718,6098.89
012-2426-2719,5207.46
012-2426-2720,17246.22
012-2426-2721,0
012-2426-2722,0
012-2426-2723,17765.11
012-2426-2724,5007.92
012-2426-2725,0
012-2426-2726,4253.7
012-2426-2727,10484.56
012-2426-2728,9225.05
012-2426-2729,7293.62
012-2426-2730,8706.72
012-2426-2731,9288.57
012-2426-2732,5092.31
012-2426-2733,12882.95
012-2426-2734,10247.06
012-2426-2735,4332.75
012-2426-2736,10633.66
012-2426-2737,9653.19
012-2426-2738,312388.34
012-2426-2739,7903.06
012-2426-2740,8046.61
012-2426-2741,12093.28
012-2426-2742,0
012-2426-2743,11082.21
012-2426-2744,1914.62
012-2426-2745,4565.9
012-2426-2746,4518.19
012-2426-2747,12479.92
012-2426-2748,0
012-2426-2749,2169.5
012-2426-2750,6093.46
012-2426-2751,7491.46
012-2426-2752,7491.55
012-2426-2753,9076.01
012-2426-2754,10116.17
012-2426-2755,9310.13
012-2426-2756,2082.35
012-2426-2757,8921.99
012-2426-2758,0
012-2426-2759,9537.3
012-2426-2760,2712.24
012-2426-2761,7586.73
012-2426-2762,2740
012-2426-2763,3688.92
012-2426-2764,6041.65
012-2426-2765,3089.24
012-2426-2766,5543.8
012-2426-2767,6870.87
012-2426-2768,5549.77
012-2426-2769,2039.91
012-2426-2770,6209.5
012-2426-2771,8096.28
012-2426-2772,0
012-2426-2773,0
012-2426-2774,0
012-2426-2775,0
012-2426-2776,2072.3
012-2426-2777,10174.27
012-2426-2778,0
012-2426-2779,0
012-2426-2780,6987.2
012-2426-2781,0
012-2426-2782,9796.79
012-2426-2783,6431.08
012-2426-2784,0
012-2426-2785,5005.32
012-2426-2786,607.75
012-2426-2787,0
012-2426-2788,8889.12
012-2426-2789,2361.6
012-2426-2790,6405.59
012-2426-2791,8560.13
012-2426-2792,10424.49
012-2426-2793,1073.9
012-2426-2794,10783.15
012-2426-2795,0
012-2426-2796,11786.57
012-2426-2797,5476.67
012-2426-2798,10500.29
012-2426-2799,3833.94
012-2426-2800,6579.96
012-2426-2801,6527.61
012-2426-2802,9345.28
012-2426-2803,5434.76
012-2426-2804,4113.27
012-2426-2805,5313
012-2426-2806,11869.28
012-2426-2807,0
012-2426-2808,4765.18
012-2426-2809,0
012-2426-2810,7823.31
012-2426-2811,5987.96
012-2426-2812,8360.56
012-2426-2813,7250.75
012-2426-2814,5712.39
012-2426-2815,5073.51
012-2426-2816,7220.24
012-2426-2817,5872.38
012-2426-2818,9712.34
012-2426-2819,10638.66
012-2426-2820,8054.17
012-2426-2821,6519.43
012-2426-2822,9952.6
012-2426-2823,4157.04
012-2426-2824,4758.81
012-2426-2825,9288.69
012-2426-2826,5729.81
012-2426-2827,12330.84
012-2426-2828,0
012-2426-2829,10608.38
012-2426-2830,12535.76
012-2426-2831,8163.02
012-2426-2832,7610.4
012-2426-2833,5583.83
012-2426-2834,14170.17
012-2426-2835,16617
012-2426-2836,15454.8
012-2426-2837,10691.12
012-2426-2838,0
012-2426-2839,1544.06
012-2426-2840,5364.52
012-2426-2841,3581.02
012-2426-2842,5683.27
012-2426-2843,9305.42
012-2426-2844,0
012-2426-2845,0
012-2426-2846,11436.32
012-2426-2847,5380.52
012-2426-2848,9527.9
012-2426-2849,4599.18
012-2426-2850,6832.31
012-2426-2851,3878.12
012-2426-2852,3086.27
012-2426-2853,5323.82
012-2426-2854,9845.96
012-2426-2855,8395.49
012-2426-2856,2663.25
012-2426-2857,6414.39
012-2426-2858,8559.91
012-2426-2859,9189.03
012-2426-2860,3830.27
012-2426-2861,0
012-2426-2862,0
012-2426-2863,0
012-2426-2864,6800.94
012-2426-2865,3375.08
012-2426-2866,0
012-2426-2867,0
012-2426-2868,0
012-2426-2869,5437.34
012-2426-2870,0
012-2426-2871,0
012-2426-2872,10898.69
012-2426-2873,0
012-2426-2874,5983.42
012-2426-2875,0
012-2426-2876,7574.26
012-2426-2877,0
012-2426-2878,0
012-2426-2879,7336.96
012-2426-2880,4673.64
012-2426-2881,4898.03
012-2426-2882,0
012-2426-2883,0
012-2426-2884,0
012-2426-2885,4053.39
012-2426-2886,17155.86
012-2426-2887,0
012-2426-2888,669.5
012-2426-2889,0
012-2426-2890,0
012-2426-2891,4808.28
012-2426-2892,0
012-2426-2893,0
012-2426-2894,0
012-2426-2895,7118.24
012-2426-2896,2766.06
012-2426-2897,10012.62
012-2426-2898,6860.26
012-2426-2899,5230.09
012-2426-2900,5889.58
012-2426-2901,11265.92
012-2426-2902,9523.34
012-2426-2903,5853.51
012-2426-2904,7731.17
012-2426-2905,5891.71
012-2426-2906,3079.29
012-2426-2907,7388.84
012-2426-2908,4884.34
012-2426-2909,8418.33
012-2426-2910,11069.21
012-2426-2911,0
012-2426-2912,9146.67
012-2426-2913,8369.57
012-2426-2914,15552.86
012-2426-2915,4523.23
012-2426-2916,3080.72
012-2426-2917,12913.91
012-2426-2918,6202.13
012-2426-2919,19591.13
012-2426-2920,8494.12
012-2426-2921,6277.47
012-2426-2922,5508.25
012-2426-2923,0
012-2426-2924,27643.18
012-2426-2925,12236.72
012-2426-2926,884.8
012-2426-2927,9191.78
012-2426-2928,7257.65
012-2426-2929,24774.2
012-2426-2930,8421.02
012-2426-2931,0
012-2426-2932,8824.05
012-2426-2933,9890.01
012-2426-2934,5548.36
012-2426-2935,3902.87
012-2426-2936,12291.84
012-2426-2937,20317.34
012-2426-2938,0
012-2426-2939,8608.96
012-2426-2940,0
012-2426-2941,9253.19
012-2426-2942,23339.89
012-2426-2943,3432.57
012-2426-2944,0
012-2426-2945,7838.12
012-2426-2946,8305.84
012-2426-2947,16517.08
012-2426-2948,5046.15
012-2426-2949,7253.72
012-2426-2950,1187.55
012-2426-2951,9279.62
012-2426-2952,9891.97
012-2426-2953,11417.33
012-2426-2954,6417.29
012-2426-2955,2545.57
012-2426-2956,10536.67
012-2426-2957,8641.8
012-2426-2958,7154.61
012-2426-2959,6959.21
012-2426-2960,9822.54
012-2426-2961,9957.74
012-2426-2962,9568.83
012-2426-2963,6067.77
012-2426-2964,10454.69
012-2426-2965,1459.41
012-2426-2966,7150.37
012-2426-2967,4657.67
012-2426-2968,8868.67
012-2426-2969,4338.21
012-2426-2970,11791.35
012-2426-2971,5590.79
012-2426-2972,5644.65
012-2426-2973,7345.12
012-2426-2974,15586.22
012-2426-2975,8131.19
012-2426-2976,9447.05
012-2426-2977,20090.42
012-2426-2978,8545.67
012-2426-2979,6382.3
012-2426-2980,10681.03
012-2426-2981,7580.3
012-2426-2982,16617.46
012-2426-2983,8662.83
012-2426-2984,7181.24
012-2426-2985,12688.06
012-2426-2986,10214.84
012-2426-2987,1850.28
012-2426-2988,11886.6
012-2426-2989,2863.9
012-2426-2990,7477.15
012-2426-2991,0
012-2426-2992,6956.07
012-2426-2993,24849.85
012-2426-2994,8139.19
012-2426-2995,29003.87
012-2426-2996,4615.01
012-2426-2997,5887.53
012-2426-2998,23093.92
012-2426-2999,14523.17
012-2426-3000,8142.5
012-2426-3001,4106.79
012-2426-3002,16930.15
012-2426-3003,4181.5
012-2426-3004,7197.41
012-2426-3005,4251.01
012-2426-3006,8498.29
012-2426-3007,6062.09
012-2426-3008,1622.7
012-2426-3009,8808.43
012-2426-3010,1328.99
012-2426-3011,19281.42
012-2426-3012,6684.53
012-2426-3013,11046.91
012-2426-3014,0
012-2426-3015,17823.85
012-2426-3016,5394.63
012-2426-3017,4510.49
012-2426-3018,8297.28
012-2426-3019,19643.94
012-2426-3020,8959.25
012-2426-3021,6372.15
012-2426-3022,17292.12
012-2426-3023,5160.52
012-2426-3024,12034.08
012-2426-3025,27643.09
012-2426-3026,26834.5
012-2426-3027,16062.3
012-2426-3028,1616.77
012-2426-3029,13502.92
012-2426-3030,6192.13
012-2426-3031,7437.53
012-2426-3032,2378.69
012-2426-3033,2889.32
012-2426-3034,11056.08
012-2426-3035,5546.34
012-2426-3036,1485.17
012-2426-3037,13041.68
012-2426-3038,6134.11
012-2426-3039,15851.4
012-2426-3040,7768.35
012-2426-3041,2504.19
012-2426-3042,0
012-2426-3043,0
012-2426-3044,7018.52
012-2426-3045,7568.96
012-2426-3046,2413.79
012-2426-3047,9082.97
012-2426-3048,354.27
012-2426-3049,6724.23
012-2426-3050,8150.02
012-2426-3051,14322.2
012-2426-3052,26110.97
012-2426-3053,11092.01
012-2426-3054,0
012-2426-3055,47481.57
012-2426-3056,0
012-2426-3057,0
012-2426-3058,5921.62
012-2426-3059,0
012-2426-3060,7842.72
012-2426-3061,285.81
012-2426-3062,6040.05
012-2426-3063,5589.79
012-2426-3064,4761.58
012-2426-3065,4342.76
012-2426-3066,253.99
012-2426-3067,7091.71
012-2426-3068,7565.1
012-2426-3069,228.49
012-2426-3070,6137.35
012-2426-3071,6744.51
012-2426-3072,23122.26
012-2426-3073,4868.75
012-2426-3074,4313.68
012-2426-3075,4332.3
012-2426-3076,6735.7
012-2426-3077,4862.57
012-2426-3078,10542.62
012-2426-3079,11279.99
012-2426-3080,2519.85
012-2426-3081,7906.08
012-2426-3082,5347.64
012-2426-3083,2818.03
012-2426-3084,3855.06
012-2426-3085,9715.03
012-2426-3086,8077.92
012-2426-3087,7980.17
012-2426-3088,9423.07
012-2426-3089,6555.72
012-2426-3090,4345.96
012-2426-3091,6237.57
012-2426-3092,9223.14
012-2426-3093,6431.12
012-2426-3094,6102.32
012-2426-3095,5277.18
012-2426-3096,878.28
012-2426-3097,3362.13
012-2426-3098,1408.25
012-2426-3099,5412.26
012-2426-3100,0.16
012-2426-3101,14616.75
012-2426-3102,7157.68
012-2426-3103,6135.85
012-2426-3104,6496.54
012-2426-3105,10389.86
012-2426-3106,5586.63
012-2426-3107,10545.61
012-2426-3108,6099.73
012-2426-3109,10116.02
012-2426-3110,10159.39
012-2426-3111,7974.28
012-2426-3112,8775.98
012-2426-3113,7477.64
012-2426-3114,7269.77
